tenure,deposit,turnover,withdrawal,deposit_next
876,1995.12,9352.24,863.74,2209.51
12,1191.39,0,0,0
1071,1265.34,1610.24,761.9,34.17
63,10474.92,23704.63,842.27,0
7159,12027.24,6404.44,3704.62,0
1611,11455.88,209820.42,2848.84,0
2,1187.77,13381.2,1684.26,5416.81
1682,34536.62,63999.22,24168.75,2212.89
178,4380.28,52831.04,4521.53,909.31
321,9980.81,42605,5711.97,3759.12
4384,16820.92,94614.09,16736.24,44.67
178,106.25,291.77,0,23.62
1585,6443.14,58957.64,11279.96,0
1614,1746.15,10274.39,1560.58,0
2497,17588.41,29942.07,13156.79,744.22
550,9807.89,32487.82,8995.42,1664.74
1889,511.31,962.88,60.11,156
4805,4242.28,37190.98,6114.47,570.51
148,760.99,8269.46,138.75,0
2,22.95,1036.7,0,0
2346,34609.99,139468.17,29655.06,6082.24
41,1763.1,4992.74,2779.17,1189.69
3702,1189.3,6522.01,0,45.6
837,998.88,5767.87,793.48,164.94
1733,230003.36,809983.16,275625,13462.76
818,5373.77,27246.8,3538.75,0
2789,26067.41,129334.89,15699.46,0
185,6110.92,62725.45,12051.6,923.36
4279,7519.12,114564.64,7819.65,91.88
937,9474.84,67480.45,6095.61,201.58
796,125088.81,606523.91,106338.06,1165.79
7,390.95,1402.2,459.7,127.1
4973,11133.78,39580.29,9384.77,261.33
3223,1099.7,3984.63,254.84,224.02
3430,12657.83,38896.17,17022.06,139.53
6163,61377.48,372291.19,62506.22,0
56,2385.95,25697.12,1829.77,2461.96
4625,17070.12,85264.94,19220.22,3522.1
12,212.01,4714.73,377.71,0
3564,5136.43,28351.66,2300.21,0
5014,14807.05,89103.17,18295.75,0
27,295.89,1840.48,382.36,164.8
1256,13345.97,60047.45,10561.35,0
7288,38185.43,153273.65,31920.84,2685.41
44,423.48,4693.51,634.06,185.84
139,1760.76,25284.11,1775.37,1515.3
5014,7013.67,43981.45,3990.92,58.82
433,1352.52,4621.77,2273.05,0
